,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,profit
113,50518234258,2023-06-30 21:46:11.000,2023-06-30 21:46:11.051,2023-06-30 21:46:11.000,2023-06-30 21:46:11.051,0,sell,1,0,4,11031994,50518234258,0,3,1.0,0.0,1.26969,1.2717100000000001,1.2671299999999999,1.26969,0.0,GBPUSD,Ordem de venda e,,-158.84
114,50518947883,2023-07-03 10:45:21.000,2023-07-03 10:45:21.532,2023-07-03 10:45:21.000,2023-07-03 10:45:21.532,0,sell,1,0,4,11031994,50518947883,0,3,1.0,0.0,1.2665899999999999,1.26853,1.26395,1.2665899999999999,0.0,GBPUSD,Ordem de venda e,,-152.93
115,50519579403,2023-07-03 15:45:04.000,2023-07-03 15:45:04.168,2023-07-03 15:45:04.000,2023-07-03 15:45:04.168,0,buy,1,0,4,11031994,50519579403,0,3,1.0,0.0,1.26909,1.26654,1.27111,1.26909,0.0,GBPUSD,Ordem de compra ,,158.92
116,50520389638,2023-07-03 21:02:34.000,2023-07-03 21:02:34.326,2023-07-03 21:02:34.000,2023-07-03 21:02:34.326,0,sell,1,0,4,11031994,50520389638,0,3,1.0,0.0,1.26821,1.27012,1.26554,1.26821,0.0,GBPUSD,Ordem de venda e,,-150.38
117,50520890651,2023-07-04 09:30:14.000,2023-07-04 09:30:14.280,2023-07-04 09:30:14.000,2023-07-04 09:30:14.281,0,buy,1,0,4,11031994,50520890651,0,3,1.0,0.0,1.27042,1.26813,1.2727,1.27042,0.0,GBPUSD,Ordem de compra ,,179.15
118,50521599844,2023-07-04 15:50:45.000,2023-07-04 15:50:45.150,2023-07-04 15:50:45.000,2023-07-04 15:50:45.150,0,buy,1,0,4,11031994,50521599844,0,3,1.0,0.0,1.27278,1.26972,1.27429,1.27278,0.0,GBPUSD,Ordem de compra ,,-241.0
119,50523116449,2023-07-05 14:00:18.000,2023-07-05 14:00:18.254,2023-07-05 14:00:18.000,2023-07-05 14:00:18.255,0,sell,1,0,4,11031994,50523116449,0,3,1.0,0.0,1.26982,1.2717100000000001,1.2671299999999999,1.26982,0.0,GBPUSD,Ordem de venda e,,-148.62
120,50523344249,2023-07-05 15:45:13.000,2023-07-05 15:45:13.801,2023-07-05 15:45:13.000,2023-07-05 15:45:13.801,0,buy,1,0,4,11031994,50523344249,0,3,1.0,0.0,1.27206,1.26972,1.27429,1.27206,0.0,GBPUSD,Ordem de compra ,,-184.29
121,50524172242,2023-07-05 21:30:16.000,2023-07-05 21:30:16.862,2023-07-05 21:30:16.000,2023-07-05 21:30:16.863,0,sell,1,0,4,11031994,50524172242,0,3,1.0,0.0,1.26965,1.2717100000000001,1.2671299999999999,1.26965,0.0,GBPUSD,Ordem de venda e,,-161.99
122,50525176348,2023-07-06 13:15:03.000,2023-07-06 13:15:03.212,2023-07-06 13:15:03.000,2023-07-06 13:15:03.212,0,buy,1,0,4,11031994,50525176348,0,3,1.0,0.0,1.2738800000000001,1.27131,1.27588,1.2738800000000001,0.0,GBPUSD,Ordem de compra ,,156.75
123,50526168293,2023-07-06 17:45:08.000,2023-07-06 17:45:08.916,2023-07-06 17:45:08.000,2023-07-06 17:45:08.916,0,sell,1,0,4,11031994,50526168293,0,3,1.0,0.0,1.2677399999999999,1.27012,1.26554,1.2677399999999999,0.0,GBPUSD,Ordem de venda e,,-187.38
124,50526320747,2023-07-06 18:45:16.000,2023-07-06 18:45:16.292,2023-07-06 18:45:16.000,2023-07-06 18:45:16.293,0,buy,1,0,4,11031994,50526320747,0,3,1.0,0.0,1.27033,1.26813,1.2727,1.27033,0.0,GBPUSD,Ordem de compra ,,186.22
125,50526357314,2023-07-06 19:03:44.000,2023-07-06 19:03:44.224,2023-07-06 19:03:44.000,2023-07-06 19:03:44.224,0,buy,1,0,4,11031994,50526357314,0,3,1.0,0.0,1.27279,1.26972,1.27429,1.27279,0.0,GBPUSD,Ordem de compra ,,117.71
126,50527000686,2023-07-07 09:15:09.000,2023-07-07 09:15:09.521,2023-07-07 09:15:09.000,2023-07-07 09:15:09.521,0,buy,1,0,4,11031994,50527000686,0,3,1.0,0.0,1.27488,1.2729,1.27747,1.27488,0.0,GBPUSD,Ordem de compra ,,-155.55
127,50527481323,2023-07-07 13:45:03.000,2023-07-07 13:45:03.538,2023-07-07 13:45:03.000,2023-07-07 13:45:03.538,0,buy,1,0,4,11031994,50527481323,0,3,1.0,0.0,1.2765900000000001,1.2744900000000001,1.2790599999999999,1.2765900000000001,0.0,GBPUSD,Ordem de compra ,,193.11
128,50528443361,2023-07-07 18:30:06.000,2023-07-07 18:30:06.256,2023-07-07 18:30:06.000,2023-07-07 18:30:06.256,0,buy,1,0,4,11031994,50528443361,0,3,1.0,0.0,1.28349,1.28085,1.28542,1.28349,0.0,GBPUSD,Ordem de compra ,,-206.11
